id;start_date;end_date;societe;nombre_d_utilisateur
1;2023-10-11;2023-10-12;but beneath though;25451
2;2023-10-11;2023-10-11;noir grim busily;5879
3;2023-10-11;2023-10-11;legal during;15973
4;2023-10-11;2023-10-11;promptly;2940
5;2023-10-11;2023-10-11;bah when;32521
6;2023-10-12;2023-10-11;anesthesiologist submit whoa;7303
7;2023-10-11;2023-10-12;unless ack insignificant;22466
8;2023-10-12;2023-10-11;behind;28438
9;2023-10-11;2023-10-11;whoever;9268
10;2023-10-11;2023-10-11;discuss amongst hurtful;11991
